1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;;;;;;;;;;;;;;;;;
Player;Team;Age;GP;W;L;Min;PTS;FGM;FGA;FG%;15:00;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-;OFFRTG;DEFRTG;NETRTG;AST%;AST/TO;AST RATIO;OREB%;DREB%;REB%;TO RATIO;EFG%;TS%;USG%;PACE;PIE;POSS;;;;;;;;;;;;;;;;;;;;;;;;;
Jrue Holiday;BOS;34;62;47;15;30,6;688;254;570;44,3;105;304;35,3;68;74;90,9;74;186;267;242;74;68;25;99;1562;1;0;5,5;116,6;107,7;8,9;17,4;3,1;25,9;3,8;9,1;6,5;8,3;53,8;56,5;15,6;99,38;8,8;3921;;;;;;;;;;;;;;;;;;;;;;;;;
Matas Buzelis;CHI;20;80;39;41;18,9;688;256;552;45,4;96;264;36,1;88;112;81,5;56;224;280;80;72;32;72;128;1376;1;0;-0,4;110,4;112,1;-1,7;7,2;1,07;10,4;3,5;13,3;8,5;9,8;54,1;57,1;18,1;105,38;7,9;3328;;;;;;;;;;;;;;;;;;;;;;;;;
Tari Eason;HOU;24;57;36;21;24,9;684;274;559;48,7;63;182;34,2;80;103;76;125;234;365;86;63;97;51;137;1619;6;0;2,5;114,8;109,2;5,6;8,2;1,28;11;8,1;15,8;11,8;8,6;54,3;56,7;18,5;101,55;11,7;2994;;;;;;;;;;;;;;;;;;;;;;;;;
Kevin Huerter;CHI;26;69;39;30;24,3;683;255;607;42,5;131;393;33,8;35;48;71,4;28;173;207;159;69;69;21;124;1359;0;0;1,5;114,5;111,7;2,8;12,4;2,33;18,4;1,7;9,8;5,8;7,9;53,5;54,4;17,1;102,32;7,3;3581;;;;;;;;;;;;;;;;;;;;;;;;;
Royce O'Neale;PHX;32;75;33;42;24,5;683;240;570;42,3;180;443;40,6;23;23;73,1;53;293;353;165;68;68;38;150;1583;1;0;-2,1;112,1;116,4;-4,2;12,8;2,51;20,1;2,9;15,7;9,4;8;58;58,5;15,1;100,27;8,5;3840;;;;;;;;;;;;;;;;;;;;;;;;;
Bobby Portis;MIL;30;49;30;19;25,4;681;279;593;46,6;64;176;36,5;59;74;83,6;88;323;412;103;59;34;25;93;1455;11;0;1,9;114,1;110,8;3,4;12,6;1,82;13,2;7,1;23,5;15,6;7,2;52;54,2;23,4;101,2;13,1;2625;;;;;;;;;;;;;;;;;;;;;;;;;
Jalen Johnson;ATL;23;36;18;18;35,7;680;270;544;50;43;140;31,2;94;126;74,6;61;299;360;180;104;58;36;68;1552;20;1;1,5;111,8;110,2;1,6;20,3;1,71;20,5;4,6;21,6;13,2;12;54,1;56,9;21,4;106,68;13,5;2858;;;;;;;;;;;;;;;;;;;;;;;;;
Terry Rozier;MIA;31;64;27;37;25,9;678;250;634;39,1;90;307;29,5;90;109;85,2;45;192;237;166;77;38;13;70;1293;0;0;-2,2;107,3;112,3;-4,9;15,2;2,14;18,1;2,5;11,3;6,8;8,4;46,2;49,7;19,5;99,13;7,8;3437;;;;;;;;;;;;;;;;;;;;;;;;;
Grayson Allen;PHX;29;64;29;35;24,1;678;218;486;44,8;147;352;42,6;96;115;81,6;32;160;192;134;77;51;19;96;1261;1;0;-1,2;114,7;118;-3,3;12,5;1,83;18,2;2,3;10,3;6,4;10;60;63,1;16,9;100,84;8,4;3255;;;;;;;;;;;;;;;;;;;;;;;;;
Jerami Grant;POR;31;47;22;25;32,4;677;216;573;37,3;108;296;36,5;141;165;84,9;28;136;165;99;66;42;47;108;1222;0;0;-4,3;107,4;113,4;-6,1;9,9;1,55;12,5;1,5;8,8;5;8;46,7;52,3;19,2;100,41;7;3183;;;;;;;;;;;;;;;;;;;;;;;;;
Mark Williams;CHA;23;44;9;35;26,6;673;268;449;60,4;0;4;0;132;163;80,4;132;317;449;110;70;31;53;106;1558;21;0;-6,8;106,3;118,9;-12,7;15,4;1,54;15,7;10,3;25,5;17,8;10,2;60,4;64,7;21;100,77;15,6;2463;;;;;;;;;;;;;;;;;;;;;;;;;
Kentavious Caldwell-Pope;ORL;32;77;38;39;29,6;670;239;547;43,9;116;331;34,2;85;92;86,3;31;139;169;139;62;100;31;139;1417;0;0;0,1;109,1;108,6;0,5;8,6;2,19;17,7;1,4;6,4;3,8;8,1;54,3;57,4;12,1;96,52;6,5;4577;;;;;;;;;;;;;;;;;;;;;;;;;
Ochai Agbaji;TOR;25;64;19;45;27,2;666;269;531;49,8;102;256;39,9;32;51;70,8;64;179;243;96;51;58;32;128;1312;0;0;-3,3;106,4;112,2;-5,7;8,1;1,81;13,9;3,3;9,8;6,6;7,6;59,3;60,1;14,4;101,93;8,1;3691;;;;;;;;;;;;;;;;;;;;;;;;;
Yves Missi;NOP;21;73;19;54;26,8;664;270;489;54,7;0;0;0;124;204;62,3;256;343;599;102;80;37;95;146;1854;14;0;-7;107,8;120,5;-12,7;7,2;1,21;12,9;12,2;17,7;14,9;10,7;54,7;57,2;14,1;99,85;9;4069;;;;;;;;;;;;;;;;;;;;;;;;;
Paul George;PHI;35;41;15;26;32,5;664;246;570;43;94;267;35,8;78;98;81,4;25;197;217;176;107;74;21;103;1374;3;0;-2;108,3;112,2;-3,8;21,7;1,68;19,9;1,8;15,3;8,3;11,8;51,4;54,3;23,3;98,87;10,6;2757;;;;;;;;;;;;;;;;;;;;;;;;;
Keon Ellis;SAC;25;80;39;41;24,4;664;224;464;48,9;136;320;43,3;72;88;84,9;64;152;216;120;72;120;64;176;1584;0;0;0,8;116,1;113,2;3;8;1,69;17,4;3,1;7,9;5,5;10,3;63,9;66,4;12,5;99,07;7,3;3997;;;;;;;;;;;;;;;;;;;;;;;;;
Taurean Prince;MIL;31;80;46;34;27,1;656;232;512;45,7;144;336;43,9;40;48;81,3;32;256;288;152;80;80;16;168;1424;1;0;-0,3;114;114,5;-0,4;9,3;1,89;20,1;1,6;11;6,5;10,6;60;61,3;12,3;100,95;6,4;4554;;;;;;;;;;;;;;;;;;;;;;;;;
Andrew Nembhard;IND;25;65;44;21;28,9;650;247;540;45,8;52;176;29,1;111;137;79,4;33;182;215;325;111;78;13;150;1560;2;0;3,1;115,5;110,2;5,3;22,5;2,91;31,4;1,8;9,3;5,7;10,8;50,6;54,5;16,3;101,31;8,1;3967;;;;;;;;;;;;;;;;;;;;;;;;;
Walker Kessler;UTA;23;58;14;44;30;644;278;418;66,3;6;35;17,6;81;151;52;267;441;708;99;87;35;139;128;2071;28;0;-5,7;109,2;118,3;-9,1;8,3;1,13;14,6;14,5;23,5;19;13;67,1;66;13,3;100,8;12,7;3656;;;;;;;;;;;;;;;;;;;;;;;;;
Isaiah Hartenstein;OKC;27;57;49;8;27,9;638;279;479;58,1;0;17;0;80;120;67,5;165;450;610;217;97;46;63;171;1927;28;0;7,3;118,3;105,3;13;17,7;2,27;25,8;10,3;26,2;18,5;11,3;58,1;59,9;16,5;101,56;13,8;3355;;;;;;;;;;;;;;;;;;;;;;;;;
Ziaire Williams;BKN;23;63;22;41;24,5;630;214;523;41,2;101;302;34,1;101;126;82,1;63;227;290;82;69;63;25;151;1304;2;0;-5,2;106,5;116,2;-9,7;8,6;1,25;11,6;3,7;15,4;9,3;9,3;51,1;55;17,9;97,77;8,1;3128;;;;;;;;;;;;;;;;;;;;;;;;;
Cole Anthony;ORL;25;67;35;32;18,4;630;228;543;42,4;74;221;35,3;94;114;82,3;47;161;201;194;101;47;34;154;1286;0;0;-0,2;107,7;109;-1,2;25,3;1,85;21,6;3,4;13,1;8;11,6;49,4;53,1;23,8;97,7;10,5;2519;;;;;;;;;;;;;;;;;;;;;;;;;
Wendell Carter Jr,;ORL;26;68;31;37;25,9;619;224;490;46;34;156;23,4;129;177;73,7;150;340;490;136;75;54;41;197;1612;10;0;-0,2;107,8;107,8;0;11,7;1,74;17,2;8,3;20,2;14;9,9;49,8;54,4;15,9;97,19;9,9;3554;;;;;;;;;;;;;;;;;;;;;;;;;
Isaiah Collier;UTA;20;71;14;57;25,9;618;234;554;42,2;43;170;24,9;107;156;68,2;36;206;234;447;206;64;14;149;1605;11;0;-5,7;108,3;118,6;-10,4;34,2;2,14;34,9;1,7;10,4;6,1;16,3;45,9;49,4;18,6;102,44;7,7;3927;;;;;;;;;;;;;;;;;;;;;;;;;
Jeremy Sochan;SAS;22;54;21;33;25,3;616;248;470;53,5;27;92;30,8;86;124;69,6;130;227;351;130;86;43;27;130;1361;8;0;-1,6;111,9;114,5;-2,7;13,8;1,52;17,4;8,8;15,4;12,1;11,4;56,5;58,9;18,4;101,53;10,1;2880;;;;;;;;;;;;;;;;;;;;;;;;;
Draymond Green;GSW;35;68;42;26;29,2;612;218;510;42,4;82;245;32,5;102;150;68,7;75;340;415;381;177;102;68;218;2020;6;1;4;115,4;108,8;6,6;25,5;2,2;33,9;3,6;16,8;10,2;15,4;50,3;53,4;15,7;101,35;8,8;4186;;;;;;;;;;;;;;;;;;;;;;;;;
Miles McBride;NYK;24;64;39;25;24,9;608;224;544;40,6;115;314;36,9;51;64;81,3;45;115;160;186;38;64;19;109;1293;0;0;3,3;116,8;109,7;7,1;15,5;4,56;23,3;2,8;6,9;4,9;5,1;51,1;53,1;16,2;99,2;7,7;3283;;;;;;;;;;;;;;;;;;;;;;;;;
Zach Edey;MEM;23;66;35;31;21,5;607;251;436;58;20;53;34,6;92;125;70,9;231;317;548;66;86;33;86;185;1643;12;0;2,5;116,8;111,5;5,3;5,9;0,74;10,2;15,3;20,4;17,9;13,9;60;62,4;15,6;104,2;11,1;3074;;;;;;;;;;;;;;;;;;;;;;;;;
Jordan Hawkins;NOP;23;56;18;38;23,6;605;207;554;37,2;112;330;33,1;78;101;81,6;22;134;157;67;56;28;22;50;991;0;0;-5,7;106,6;118,1;-11,4;7,6;1,14;9,2;1,7;9,7;5,6;8,1;47,1;50,4;20,4;101,14;6,6;2783;;;;;;;;;;;;;;;;;;;;;;;;;
Sam Hauser;BOS;27;71;52;19;21,7;604;213;476;45,1;163;398;41,6;14;14;100;43;178;227;64;21;43;14;85;1108;0;0;4,6;119,8;109,8;10;5,7;2,78;11,3;2,7;11,3;7;4,1;62,7;63,2;14;96,4;8,3;3102;;;;;;;;;;;;;;;;;;;;;;;;;
Cam Thomas;BKN;23;25;8;17;31,2;600;200;455;43,8;68;195;34,9;133;150;88,1;15;68;83;95;63;15;3;45;828;1;0;-3,7;114,9;120,6;-5,7;21,7;1,52;14;2;8,9;5,4;9,2;51,3;57,5;32,8;96,1;12,2;1563;;;;;;;;;;;;;;;;;;;;;;;;;
Jordan Clarkson;UTA;33;37;10;27;26;599;200;492;40,8;85;233;36,2;115;144;79,7;26;93;118;137;85;30;7;52;984;0;0;-5,5;107,5;117,5;-10;23,8;1,6;17,8;2,5;9,2;5,8;11,1;49,3;54;26,9;102,16;10,2;2049;;;;;;;;;;;;;;;;;;;;;;;;;
Ausar Thompson;DET;22;59;34;25;22,5;596;248;460;53,5;12;47;22,4;89;142;64,1;112;195;301;136;83;100;41;165;1493;3;0;1,1;113,1;109,2;4;13,9;1,68;18,2;8,1;13,9;11;10,8;54,7;56,8;18,5;102,76;10,4;2822;;;;;;;;;;;;;;;;;;;;;;;;;
Kel'el Ware;MIA;21;64;28;36;22,2;595;256;467;55,4;32;109;31,5;45;64;68,7;115;358;474;58;58;38;70;109;1523;15;0;0,6;112,8;110,9;1,9;6,2;1,05;9,8;8,7;23,8;16,7;9,3;59,2;60,3;16,9;98,6;11,9;2914;;;;;;;;;;;;;;;;;;;;;;;;;
Nick Smith Jr,;CHA;21;60;14;46;22,8;594;222;570;39,1;102;306;34;42;48;93,5;12;114;126;144;84;18;6;78;948;1;0;-6,6;102,1;116,4;-14,3;16,9;1,77;17,8;0,9;8;4,3;10,1;48,2;50,2;20,5;99,74;6,4;2848;;;;;;;;;;;;;;;;;;;;;;;;;
Kyshawn George;WAS;21;68;15;53;26,5;592;204;544;37,2;116;354;32,2;68;95;75,3;48;238;286;170;95;68;48;204;1442;1;0;-5,3;105,4;115,5;-10,1;13,3;1,74;19,8;2,5;12,2;7,4;11,4;47,6;50,3;15,6;102,7;5,8;3869;;;;;;;;;;;;;;;;;;;;;;;;;
Julian Strawther;DEN;23;65;41;24;21,3;585;208;488;43,2;91;267;34,9;72;91;82,2;20;124;143;85;59;39;13;150;988;0;0;-1,1;111,9;114,4;-2,5;8,2;1,46;12,5;1,2;8,3;4,9;8,6;52,9;55,9;17,3;102,79;5,7;2964;;;;;;;;;;;;;;;;;;;;;;;;;
Davion Mitchell;MIA;26;74;25;49;27,4;585;222;474;46,8;81;215;39,8;59;81;69;37;133;170;363;126;74;15;185;1473;1;0;0;111;110,7;0,3;23,7;2,84;36,2;1,7;6,3;4,1;12,8;55,7;57,3;13,5;98,76;6,9;4164;;;;;;;;;;;;;;;;;;;;;;;;;
Bogdan Bogdanović;LAC;32;54;33;21;25;583;211;491;42,7;103;292;36,3;59;65;87,9;22;135;157;146;76;43;11;130;1075;1;0;2;112,7;110;2,7;15,2;1,97;19,7;1,7;9,8;5,7;10;53,4;55,9;18,3;101,35;7,4;2858;;;;;;;;;;;;;;;;;;;;;;;;;
Mike Conley;MIN;37;71;44;27;24,7;582;185;469;40;128;312;41;78;92;90;36;149;185;320;78;78;14;114;1484;1;0;3,7;115,5;109;6,5;24,3;4,25;35,6;1,8;8,5;5,2;8,4;53,5;57,3;14,1;97,92;9,2;3596;;;;;;;;;;;;;;;;;;;;;;;;;
Luke Kennard;MEM;28;65;37;28;22,6;579;208;429;47,8;111;260;43,3;52;59;89,5;39;143;182;215;72;52;7;59;1209;0;0;1,9;117,6;114,5;3,1;17,9;2,99;29,3;2,4;9,4;5,9;9,8;60,9;63,1;14;104,99;9,3;3228;;;;;;;;;;;;;;;;;;;;;;;;;
Jose Alvarado;NOP;27;56;19;37;24,4;577;202;521;39,2;112;308;35,9;62;73;81,1;28;106;134;258;84;73;17;90;1310;2;0;-4,1;108,4;117,1;-8,7;27,8;3,01;29;1,9;7,7;4,7;9,6;49,8;52,3;19,3;99,89;9;2849;;;;;;;;;;;;;;;;;;;;;;;;;
Deandre Ayton;POR;26;40;17;23;30,1;576;264;468;56,6;8;32;18,8;40;60;66,7;124;284;408;64;68;32;40;88;1300;20;0;-4,1;110;116,8;-6,9;8,3;0,93;10,2;9,9;24,3;16,8;11;57,3;58,3;19,7;98,94;12,5;2489;;;;;;;;;;;;;;;;;;;;;;;;;
Cason Wallace;OKC;21;68;55;13;27,6;571;231;490;47,4;75;211;35,6;27;34;81,1;68;156;231;170;61;122;34;143;1510;0;0;5,4;117,2;107,1;10,1;11,7;2,93;23,5;3,6;7,9;5,7;8;55;56,2;12,4;101,87;7,5;3967;;;;;;;;;;;;;;;;;;;;;;;;;
Johnny Juzang;UTA;24;64;15;49;19,8;570;205;474;42,9;115;314;37,6;45;51;84,9;45;141;186;70;38;38;6;128;998;0;0;-5,6;107,2;120,3;-13,1;8;1,89;11,3;3,1;10,9;7;6;55,4;57,3;17,4;102,1;7,1;2700;;;;;;;;;;;;;;;;;;;;;;;;;
Jaime Jaquez Jr,;MIA;24;66;32;34;20,7;568;211;462;46,1;40;119;31,1;106;145;75,4;86;205;290;165;99;59;13;79;1294;3;1;-2,3;107,9;113,9;-6;18,1;1,69;21,1;6;14,5;10,3;12,4;50,1;54,3;19,4;99,18;9,8;2835;;;;;;;;;;;;;;;;;;;;;;;;;
Brandon Miller;CHA;22;27;8;19;34,2;567;197;491;40,3;105;294;35,5;68;78;86,1;24;105;132;97;76;30;19;73;942;2;0;-4,6;106,9;113,8;-6,8;18,2;1,29;14;2,4;11,7;6,8;10,9;50,9;54;27;98,77;10;1903;;;;;;;;;;;;;;;;;;;;;;;;;
Patrick Williams;CHI;23;63;31;32;25;567;208;517;39,7;95;271;35,3;63;82;72,3;44;195;239;126;88;50;32;88;1191;1;0;-2,9;108,7;113,5;-4,8;10,6;1,44;16,3;2,5;11,3;7;11,3;49;51,2;16,5;105,94;6,2;3473;;;;;;;;;;;;;;;;;;;;;;;;;
Jalen Suggs;ORL;24;35;20;15;28,6;567;196;480;41;77;242;31,4;98;109;88,2;25;119;140;130;102;53;32;98;1078;0;0;0,1;105,7;104,8;1;21,6;1,26;17;2,3;12,6;7,2;13,5;48,9;53,6;26,8;99,02;10,7;2060;;;;;;;;;;;;;;;;;;;;;;;;;
Ayo Dosunmu;CHI;25;46;17;29;30,3;566;221;451;49,2;60;189;32,8;60;78;78,5;28;133;161;207;69;41;18;106;1187;1;1;-5,1;110,1;117,8;-7,7;21;3,01;27,4;1,8;9;5,4;9,1;56,1;58,5;16,3;104,63;8,4;3039;;;;;;;;;;;;;;;;;;;;;;;;;
Immanuel Quickley;TOR;25;33;12;21;27,8;564;185;439;42;86;224;37,8;112;129;86,7;17;102;116;191;59;23;3;59;1013;2;0;-1,2;109;110,7;-1,6;32;3,29;25,7;1,6;10,7;6;7,8;51,7;57;24,6;101,44;12,8;1936;;;;;;;;;;;;;;;;;;;;;;;;;
Dalano Banton;POR;25;67;28;39;16,7;556;201;509;39,1;74;221;32,4;94;127;72,8;27;107;134;161;87;40;34;60;1106;0;0;-0,8;110,2;111,8;-1,5;21,3;1,86;19,8;2,5;8,8;5,6;10,7;46,2;49,7;23,7;101,21;8,9;2353;;;;;;;;;;;;;;;;;;;;;;;;;
Peyton Watson;DEN;22;68;40;28;24,3;551;204;428;47,7;48;136;35,3;95;136;69,3;48;184;231;95;54;48;95;122;1340;0;0;-0,4;113,9;113,9;0;7,3;1,68;14,7;3;10,3;6,9;8,8;53,3;56,4;13,8;101,83;6,6;3501;;;;;;;;;;;;;;;;;;;;;;;;;
Dorian Finney-Smith;LAL;32;63;36;27;28,9;548;195;435;44,8;126;315;41,1;32;44;66,7;82;170;246;88;57;57;25;139;1166;0;0;4,9;119,1;110,3;8,8;6,6;1,61;15;4,7;8,9;6,9;9,3;59,7;60,4;12,3;98,14;6;3711;;;;;;;;;;;;;;;;;;;;;;;;;
Justin Champagnie;WAS;23;62;16;46;21,6;546;211;409;51,1;74;192;38,3;50;74;68,5;112;242;353;62;56;62;37;112;1314;8;0;-4,6;107,1;116,8;-9,7;6,6;1,11;10,8;7,7;15,9;11,9;9,7;60,1;61,4;15;102,96;10,1;2871;;;;;;;;;;;;;;;;;;;;;;;;;
Dejounte Murray;NOP;28;31;9;22;32,6;543;195;493;39,3;53;174;29,9;102;124;82,3;16;183;202;229;105;62;12;62;1243;8;1;-6,7;109;118,1;-9,1;34,7;2,15;25,9;1,5;18,3;9,4;12;44,5;49,4;26,3;102,86;11,8;2165;;;;;;;;;;;;;;;;;;;;;;;;;
Al Horford;BOS;39;60;44;16;27,6;540;198;462;42,3;114;312;36,3;36;36;89,5;78;288;372;126;48;36;54;84;1386;7;0;6,6;119,6;108,1;11,5;10,2;2,78;19,6;4,6;16,5;10,6;7;54,7;56,3;13,6;97,75;9,1;3381;;;;;;;;;;;;;;;;;;;;;;;;;
Aaron Nesmith;IND;25;45;29;16;24,9;540;194;378;50,7;86;194;43,1;72;81;91,3;36;140;180;54;36;36;18;113;954;0;0;4,4;120,1;111,5;8,5;6,3;1,46;10,8;3,4;11,8;7,8;7,4;61,7;65,3;17,1;101,64;8,7;2373;;;;;;;;;;;;;;;;;;;;;;;;;
AJ Green;MIL;25;73;44;29;22,7;540;183;423;42,9;153;365;42,7;22;29;81,5;15;153;175;110;37;37;7;161;1007;0;0;3,1;114;107,6;6,4;8,6;2,7;18,6;1,1;8,7;5,1;6,9;61,2;62,1;12,3;100,84;5,8;3487;;;;;;;;;;;;;;;;;;;;;;;;;
Jared Butler;PHI;24;60;6;54;17,4;540;204;456;44,8;60;168;35,5;78;90;82,4;24;84;108;222;78;42;12;96;1086;1;0;-2,2;108,5;114,5;-6;31,7;2,75;27,9;2,2;7,6;4,9;10,2;51,4;54,9;22,2;102,6;10,2;2232;;;;;;;;;;;;;;;;;;;;;;;;;
Tristan da Silva;ORL;24;74;35;39;22;533;200;481;41,2;81;237;33,5;52;67;87,3;74;170;244;111;59;30;15;96;1095;1;0;-1,7;106,1;110,3;-4,2;10,5;2,02;16,6;4,2;11,4;7,6;8,2;49,5;52,2;14,9;96,97;7,4;3295;;;;;;;;;;;;;;;;;;;;;;;;;
Ricky Council IV;PHI;23;73;16;57;17,1;533;175;460;38,2;58;212;25,8;124;153;80,4;51;161;212;95;51;29;15;66;1015;3;0;-2,2;109,9;116;-6,1;11,5;1,87;14,3;3,9;13;8,4;7,7;44,2;50,2;19,6;99,93;8;2602;;;;;;;;;;;;;;;;;;;;;;;;;
Jamal Shead;TOR;22;75;28;47;19,6;533;203;503;40,5;75;225;32,3;53;68;76,8;30;83;113;315;120;60;8;158;1230;1;0;-3,1;105,5;113,3;-7,8;30,7;2,7;32,8;1,9;5,7;3,7;12,1;47,6;49,9;17,9;102,18;7;3127;;;;;;;;;;;;;;;;;;;;;;;;;
Brandon Clarke;MEM;28;64;40;24;18,9;531;237;378;62,1;0;19;5,9;64;90;70,1;128;198;326;64;38;51;38;147;1248;2;0;2,8;116,5;108,2;8,2;7,2;1,61;12,7;10,2;14,8;12,6;7,9;62,2;63,8;15;105,54;10,8;2637;;;;;;;;;;;;;;;;;;;;;;;;;
Nick Richards;PHX;27;57;17;40;22;530;205;348;59,1;0;0;0;120;160;74,4;148;319;467;51;80;11;57;143;1288;16;0;-4,1;112,3;120,9;-8,7;5,8;0,6;8,9;11,8;24,3;18,1;14,8;59,1;63,4;16,9;98,62;10,7;2576;;;;;;;;;;;;;;;;;;;;;;;;;
Jaden Ivey;DET;23;30;14;16;29,9;528;189;414;46;63;153;40,9;84;117;73,3;39;84;123;120;90;27;12;66;882;0;0;-2,1;110,5;114,6;-4,1;20,7;1,34;17,7;4,3;9,1;6,7;13,2;53,6;56,9;25,6;99,52;9,9;1868;;;;;;;;;;;;;;;;;;;;;;;;;
Jalen Smith;CHI;25;64;28;36;15;525;192;410;46,6;70;224;32,4;70;90;80,9;90;269;358;64;38;19;45;96;1197;4;0;-0,6;110,3;111,5;-1,2;10,1;1,76;11,9;8,5;24,1;16,5;6,8;55,4;58,6;20,1;106,06;13,3;2122;;;;;;;;;;;;;;;;;;;;;;;;;
Tyrese Martin;BKN;26;60;16;44;21,9;522;192;468;40,6;102;282;35,1;48;60;79,3;60;162;222;120;72;36;12;78;1026;1;0;-4,3;103,2;113,4;-10,2;15;1,65;17,7;4;13,3;8,3;10,8;51,3;53,3;17,9;98,64;8,4;2711;;;;;;;;;;;;;;;;;;;;;;;;;
Ronald Holland II;DET;19;81;44;37;15,6;518;194;413;47,4;32;154;23,8;89;122;75,4;41;178;219;81;73;49;16;138;1029;0;0;-0,7;109,8;110,9;-1;9,5;1,14;13,2;3;13,6;8,3;11,6;51,7;55,6;17,7;101;7,8;2652;;;;;;;;;;;;;;;;;;;;;;;;;
Terance Mann;ATL;28;67;37;30;21,1;516;208;415;49,6;60;161;36,8;47;67;69,1;67;134;201;121;47;47;13;127;1079;0;0;-1,4;112,9;115,2;-2,3;11,8;2,57;19,8;4,7;9,4;7;7,7;56,9;58,4;14,5;100,43;7,4;2947;;;;;;;;;;;;;;;;;;;;;;;;;
Sam Merrill;CLE;29;71;54;17;19,7;511;170;426;40,6;135;369;37,2;28;28;96,6;36;121;156;107;36;50;14;121;1022;0;0;4,5;117,4;107,1;10,3;9,9;3,09;18,7;2,6;7,7;5,2;6;56,7;58,3;14;101,26;6,9;2963;;;;;;;;;;;;;;;;;;;;;;;;;
Ryan Dunn;PHX;22;74;32;42;19,1;511;207;474;43;81;266;31,1;22;37;48,7;89;178;266;59;37;44;37;163;1132;3;0;-2,3;110,4;115,1;-4,7;5,9;1,43;9,6;6,3;11,7;9;6,8;51,6;51,7;16,1;98,59;5,9;2882;;;;;;;;;;;;;;;;;;;;;;;;;
Goga Bitadze;ORL;25;70;38;32;20,4;504;210;336;61,1;0;28;10,7;84;133;63,9;168;294;462;140;70;49;98;147;1631;15;0;1,1;110,1;107,4;2,7;14,2;1,9;22,6;11,6;22,7;16,9;11,9;61,5;63,1;14,2;95,8;13,4;2855;;;;;;;;;;;;;;;;;;;;;;;;;
Josh Green;CHA;24;68;17;51;27,8;503;177;422;42,8;95;245;39,1;48;75;68,1;54;116;170;109;68;75;14;163;1074;0;0;-5,4;105,3;114,2;-8,9;8,1;1,54;17,1;2,7;6;4,3;11,1;54,3;55,9;11,5;100,08;4,3;3929;;;;;;;;;;;;;;;;;;;;;;;;;
Chris Boucher;TOR;32;50;18;32;17,2;500;180;370;49,2;70;195;36,3;70;85;78,2;70;155;225;35;30;25;25;70;940;3;0;0,1;113,3;113,5;-0,2;5,7;1,14;7;7,7;17,5;12,5;6,2;58,6;61,5;20,8;99,28;12,6;1787;;;;;;;;;;;;;;;;;;;;;;;;;
Cameron Payne;NYK;30;72;46;26;15,1;497;180;446;40,1;94;259;36,3;50;58;90,7;14;94;101;202;50;36;14;108;1044;0;0;2,8;116,6;107,5;9,1;25,1;3,9;28,1;1,3;8,1;4,7;7,2;50,6;53,2;20;100,23;8,9;2275;;;;;;;;;;;;;;;;;;;;;;;;;
Jaden Hardy;DAL;22;57;30;27;15,9;496;182;416;43,5;74;200;38,6;63;86;69,8;11;80;91;80;80;29;6;91;741;0;0;-1,1;108,3;111,6;-3,2;13,8;0,99;13,2;1;8,5;4,8;13,3;52,7;54,9;24,4;102,83;6,9;1943;;;;;;;;;;;;;;;;;;;;;;;;;
Nikola Jović;MIA;22;46;21;25;25,1;492;170;377;45,6;78;212;37,1;74;87;82,8;28;152;179;129;60;37;14;83;998;0;0;-0,4;109,6;110,7;-1,1;17,4;2,18;21,7;2,2;12,7;7,6;9,9;56;59,5;17,8;98,48;9,8;2374;;;;;;;;;;;;;;;;;;;;;;;;;
Clint Capela;ATL;31;55;27;28;21,4;490;220;391;55,9;0;0;0;50;99;53,6;176;297;468;61;50;33;55;105;1359;11;0;-1,4;108,7;111,5;-2,7;7,3;1,32;11,4;13,2;23,8;18,3;8,7;55,9;56,4;16;105,23;11,7;2575;;;;;;;;;;;;;;;;;;;;;;;;;
Haywood Highsmith;MIA;28;74;35;39;24,6;481;178;392;45,8;89;229;38,2;30;44;72,1;74;178;252;111;52;67;37;163;1206;0;0;0,8;111,8;110,4;1,4;8,4;2,07;19,5;4;9,8;6,9;9,4;57,2;58,3;11,1;97,33;5,7;3691;;;;;;;;;;;;;;;;;;;;;;;;;
Chet Holmgren;OKC;23;32;26;6;27,4;480;166;342;49;45;115;37,9;102;134;75,4;48;208;256;64;58;22;70;74;1107;11;0;9,2;121,7;105,6;16,1;9,1;1,13;12,1;5,4;20,8;13,6;10,8;55,4;59,9;21,4;103,83;12,2;1891;;;;;;;;;;;;;;;;;;;;;;;;;
Cam Whitmore;HOU;20;51;30;21;16,2;479;179;403;44,4;66;184;35,5;56;71;75;36;117;153;51;46;31;15;46;816;2;0;0;113,4;112,3;1,1;9;1,07;9,2;3,9;13,9;8,6;8,7;52,5;54,9;23,1;100,93;10,8;1729;;;;;;;;;;;;;;;;;;;;;;;;;
Kris Dunn;LAC;31;74;45;29;24,1;474;192;437;43,9;74;222;33,5;15;22;68,2;52;200;252;207;74;126;30;200;1480;0;0;3,5;113,8;106;7,8;15,3;2,84;28,7;3,1;11,1;7,2;10,1;52,5;53,1;12,6;99,24;7;3675;;;;;;;;;;;;;;;;;;;;;;;;;
