1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;;;;;;;;;;;;;;;;;
Player;Team;Age;GP;W;L;Min;PTS;FGM;FGA;FG%;15:00;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-;OFFRTG;DEFRTG;NETRTG;AST%;AST/TO;AST RATIO;OREB%;DREB%;REB%;TO RATIO;EFG%;TS%;USG%;PACE;PIE;POSS;;;;;;;;;;;;;;;;;;;;;;;;;
Jordan Poole;WAS;25;68;15;53;29,4;1394;456;1054;43,2;238;619;37,8;245;272;88,3;34;170;204;306;204;88;27;204;2224;1;0;-8,2;104,8;117,9;-13,1;25,4;1,49;18;1,4;8;4,6;12,1;54,4;59,1;28,1;103,95;10,7;4337;;;;;;;;;;;;;;;;;;;;;;;;;
Tyrese Maxey;PHI;24;52;20;32;37,7;1368;478;1092;43,7;161;478;33,7;255;291;87,9;16;161;172;317;125;94;21;114;2267;8;1;-2,4;113,8;117,4;-3,5;27,6;2,56;19,2;0,7;8,7;4,5;7,5;51,1;56,2;29,3;98,34;12,7;4024;;;;;;;;;;;;;;;;;;;;;;;;;
Tyrese Haliburton;IND;25;73;46;27;33,6;1358;475;1007;47,3;219;562;38,8;190;219;85,1;44;219;256;672;117;102;51;95;3022;31;0;3;117,7;114,2;3,5;38,4;5,61;35,8;1,7;8,7;5,2;6,4;58,2;61,6;21;100,82;14,3;5165;;;;;;;;;;;;;;;;;;;;;;;;;
Nikola Vučević;CHI;34;73;34;39;31,2;1351;548;1037;53;131;321;40,2;117;146;80,5;175;555;737;256;117;58;51;161;2832;45;1;-1,3;113,6;116;-2,4;16,5;2,15;17,3;7,6;22,8;15,4;8,1;59,2;61,1;22,1;104,11;13,6;4950;;;;;;;;;;;;;;;;;;;;;;;;;
Anfernee Simons;POR;26;70;28;42;32,7;1351;476;1127;42,6;217;595;36,3;175;196;90,2;28;161;189;336;140;63;7;119;2135;2;0;-3,1;108,8;113,4;-4,6;24,1;2,36;20,1;1;6,9;3,9;8,5;52,1;55,7;24,1;99,72;10,6;4760;;;;;;;;;;;;;;;;;;;;;;;;;
Ivica Zubac;LAC;28;80;50;30;32,8;1344;592;944;62,8;0;0;0;160;240;66,1;304;712;1008;216;128;56;88;168;3184;59;1;6,4;116,5;107,1;9,4;12,1;1,69;15,5;12,2;27,1;19,9;9,2;62,8;64,1;19,2;98,55;15,7;5392;;;;;;;;;;;;;;;;;;;;;;;;;
Malik Beasley;DET;28;82;44;38;27,8;1337;459;1074;43;320;763;41,6;98;139;67,9;49;164;213;139;82;74;8;123;1952;1;0;2,1;113,3;110,2;3,1;8,9;1,67;10,3;2;6,9;4,5;6,2;57,9;59;21,5;102,76;9,1;4898;;;;;;;;;;;;;;;;;;;;;;;;;
Domantas Sabonis;SAC;29;70;36;34;34,7;1337;525;896;59;63;154;41,7;217;287;75,4;266;707;973;420;203;49;28;231;3157;61;10;2,1;116,5;113,9;2,6;25,1;2,09;25,7;11;28,6;19,9;12,3;62,7;65,5;21,3;99,78;16,4;5054;;;;;;;;;;;;;;;;;;;;;;;;;
OG Anunoby;NYK;27;74;45;29;36,6;1332;488;1029;47,6;170;459;37,2;185;229;81;96;259;355;163;104;111;67;170;2427;1;0;4,1;117,7;112,3;5,4;8,4;1,61;11,8;3,7;9,8;6,7;7,3;55,9;59,1;19,5;97,73;9,3;5511;;;;;;;;;;;;;;;;;;;;;;;;;
Shaedon Sharpe;POR;22;72;32;40;31,3;1332;497;1102;45,2;144;475;31,1;187;245;78,5;65;259;324;202;151;65;14;122;2102;3;0;-1,9;111,4;114,4;-3;13,8;1,32;12,7;2,9;11,4;7;9,7;51,9;55,1;25;99,88;10,2;4688;;;;;;;;;;;;;;;;;;;;;;;;;
